SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Quality Assurance and Risk Management,Add Documents to 2020 Core Committee Page,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,04-03-2019,19:51:00
Quality Assurance and Risk Management,Pet License Roster Web Edits,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,04-03-2019,20:12:00
Quality Assurance and Risk Management,FJC Shred Event Flyer,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Video Editing, Graphic Design, Technical Documentation, News and Media Communication",04-03-2019,22:27:00
Quality Assurance and Risk Management,Redesign Election Envelopes,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Writing and Editing, Graphic Design, Proofreading and Quality Assurance",15-03-2019,19:23:00
Quality Assurance and Risk Management,Redesign Election Inserts,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Technical Documentation",15-03-2019,19:26:00
Quality Assurance and Risk Management,"Print, Cut, Fold 25 Leg Brochures",kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Technical Documentation,15-03-2019,19:29:00
Quality Assurance and Risk Management,Kennel Brochure,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Video Editing, Technical Documentation",15-03-2019,19:40:00
Technical Communication and Media,Social Planning,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design, Video Editing, Writing and Editing, Public Outreach and Engagement, Proofreading and Quality Assurance",15-03-2019,19:45:00
Engineering Leadership and Strategy,State of the County on FB,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Public Outreach and Engagement, Writing and Editing, Social Media Strategy, Video Editing and Production",15-03-2019,19:46:00
Engineering Leadership and Strategy,Design State of the County Live Tweet Graphics,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,15-03-2019,19:47:00
Engineering Leadership and Strategy,Live Tweet at State of the County,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,15-03-2019,19:48:00
